id,name,content,option
1,[ffbb00]【理事長】[-]早田藍,這間闇影詩章想像學院，是「卡片設計」系最為傑出的影之詩專門培訓學校。[ENDL]......希望各位同學自由成長與遊戲，做自己想做的事。不能忘記該遵守的本分，學習與遊戲必須並進。,path=Background/main_bg
2,旁白,約兩個小時長的開學典禮，最後以學園理事長[ffbb00]早田藍[-]的演講與校訓做結尾。,none
3,神秘少年,理事長的演講意外的沒有很長呢，雖然我從中間開始就睡著了。,none
4,同學,[ffbb00]朝雲[-]太會睡啦！,none
5,神秘少年,欸嘿嘿...不過第一天好像是自由參觀吧，我先走了，等會見！,none
6,旁白,少年沾沾自喜，相信自己很快就能適應新學校的生活。[ENDL]......但興奮的踏著小跳步的少年在轉角處撞上了某人。,none
7,神秘少年,啊！對不......,none
8,帥哥,哎呀！抱歉了，小弟弟，來這裡找哥哥姐姐嗎？,none
9,神秘少年,好過份！我明明也是這個學校的學生！,none
10,帥哥,欸？我們學校有國小部？,none
11,神秘少年,不是啦！我是一年級的新生！,none
12,蒼星玉史,啊哈哈抱歉抱歉，稍微捉弄了你一下。[ENDL]我是[ffbb00]蒼星玉史[-]，2年B班。你呢？,none
13,旁白,面前的蒼星玉史有著超級引人注意的異色瞳，好看的五官搭配爽朗的笑容，雖然講話很失禮但看起來是個正經的帥哥。,none
14,朝雲正大,你好！我是[ffbb00]朝雲正大[-]，1年A班。請多指教，蒼星學長！,none
15,旁白,名為朝雲正大的元氣少年有著一頭睡亂的綠髮，晶瑩剔透的翠綠眼睛[ENDL]──可惜朝雲身材矮小加上未脫稚氣的臉蛋，比起帥氣更常被說是可愛。像剛剛一樣被誤認為國小生的情況其實也不算少見。,none
16,蒼星玉史,雖說作為道歉有點那個，我帶你參觀校園吧。上學第一天只是來聽講座的，已經是自由時間了。,none
17,朝雲正大,可以是可以......蒼星學長是假日沒人約的那種人嗎？,none
18,蒼星玉史,......難不成你很在意剛剛我捉弄你？,none
19,朝雲正大,嗯？完全沒有阿？,none
